rank,words,phonetic,coca_speech,WB_speech
9977,seminary,"/ˈsɛməˌneri, Brit ˈsɛmənəri/",n, noun 
9978,loaded,/ˈloʊdəd/,j, adj 
9979,checkpoint,/ˈʧɛkˌpoınt/,n, noun 
9980,authorization,/ˌɑːθərəˈzeıʃən/,n, noun 
9981,receptor,/rıˈsɛptɚ/,n, noun 
9982,furiously,,r, adv 
9983,resume,"/rıˈzuːm, Brit rıˈzjuːm/",n, verb 
9984,greasy,/ˈgriːsi/,j, adj 
9985,bonding,,n," adj 
 noun "
9986,spiral,/ˈspaırəl/,v," adj 
 noun 
 verb "
9987,pant,/ˈpænt/,v, verb 
9988,populist,"/ˈpɑːpjəlıst/
/ˈpɑːpjəˌlızəm/",j," adj 
 noun "
9989,devoid,/dıˈvoıd/,j, adj 
9990,chaplain,/ˈʧæplən/,n, noun 
9991,armchair,/ˈɑɚmˌʧeɚ/,n," adj 
 noun "
9992,immoral,"/ıˈmorəl/
/ˌıˌmoɚˈæləti/
/ıˈmorəli/",j," adj 
 adv 
 noun "
9993,grieve,/ˈgriːv/,v, verb 
9994,bathtub,"/ˈbæθˌtʌb, Brit ˈbɑːθˌtʌb/",n, noun 
9995,cast,"/ˈkæst, Brit ˈkɑːst/",j," noun 
 verb "
9996,walkway,/ˈwɑːkˌweı/,n, noun 
9997,supernova,"/ˌsuːpɚˈnoʊvə/
/-ˈnoʊvi/",n, noun 
9998,assorted,/əˈsoɚtəd/,j, adj 
9999,receptive,"/rıˈsɛptıv/
/ˌriːˌsɛpˈtıvəti/",j," adj 
 noun "
10000,voltage,/ˈvoʊltıʤ/,n, noun 
10001,finale,"/fəˈnæli, fəˈnɑːli/",n, noun 
10002,heading,/ˈhɛdıŋ/,n, noun 
10003,vigor,/ˈvıgɚ/,n, noun 
10004,scarcity,/ˈskeɚsəti/,n, noun 
10005,darkened,,j, adj 
10006,stiffen,"/ˈstıfən/
/ˈstıfənɚ/",v," noun 
 verb "
10007,quarry,"/ˈkwori/
/ˈkworijıŋ/",n," noun 
 verb "
